"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"ReceiptNoticeModel","ReceiptNoticeModel","","","",0,*,"","","","null {[]} {[]}
","A request for supply of one or more healthcare products","This is the logical model for the ReceiptNotice","","","","","","","","","",,,,,"",,,,"Element",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"ReceiptNoticeModel.id","ReceiptNoticeModel.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"ReceiptNoticeModel.extension","ReceiptNoticeModel.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"ReceiptNoticeModel.identifier","ReceiptNoticeModel.identifier","","","",0,1,"","","","Identifier {[]} {[]}
","Shipment identifier","Shipment identifier","","","","","","","","","",,,,,"",,,,"ReceiptNoticeModel.identifier",0,1,"",""
"ReceiptNoticeModel.status","ReceiptNoticeModel.status","","","",1,1,"","","","code {[]} {[]}
","status","status","","","","","","","","","",,,,,"",,,,"ReceiptNoticeModel.status",1,1,"",""
"ReceiptNoticeModel.dateTime","ReceiptNoticeModel.dateTime","","","",0,1,"","","","dateTime {[]} {[]}
","date time","date time","","","","","","","","","",,,,,"",,,,"ReceiptNoticeModel.dateTime",0,1,"",""
"ReceiptNoticeModel.requestIdentifier","ReceiptNoticeModel.requestIdentifier","","","",0,1,"","","","Identifier {[]} {[]}
","Request identifier","Request identifier","","","","","","","","","",,,,,"",,,,"ReceiptNoticeModel.requestIdentifier",0,1,"",""
"ReceiptNoticeModel.supplier","ReceiptNoticeModel.supplier","","","",0,1,"","","","Reference {[]} {[]}
","Supplier","Supplier","","","","","","","","","",,,,,"",,,,"ReceiptNoticeModel.supplier",0,1,"",""
"ReceiptNoticeModel.supplierLocation","ReceiptNoticeModel.supplierLocation","","","",0,1,"","","","Location {[]} {[]}
","Supplier location","Supplier location","","","","","","","","","",,,,,"",,,,"ReceiptNoticeModel.supplierLocation",0,1,"",""
"ReceiptNoticeModel.receiver","ReceiptNoticeModel.receiver","","","",0,1,"","","","Reference {[]} {[]}
","Receiver","Receiver","","","","","","","","","",,,,,"",,,,"ReceiptNoticeModel.receiver",0,1,"",""
"ReceiptNoticeModel.receiverLocation","ReceiptNoticeModel.receiverLocation","","","",0,1,"","","","Location {[]} {[]}
","receiver location","receiver location","","","","","","","","","",,,,,"",,,,"ReceiptNoticeModel.receiverLocation",0,1,"",""
"ReceiptNoticeModel.item","ReceiptNoticeModel.item","","","",1,*,"","","","BackboneElement {[]} {[]}
","item","item","","","","","","","","","",,,,,"",,,,"ReceiptNoticeModel.item",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ReceiptNoticeModel.item.id","ReceiptNoticeModel.item.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"ReceiptNoticeModel.item.extension","ReceiptNoticeModel.item.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
